CO_MUP;VA_NO_VOIE;geo_point_2d;COM_INSEE;LB_VOIE;Geo Shape;COMMUNE
A2I0O1;0;48.4944428263, -1.81831497831;35362;LA VILLEJOIE;"{""type"": ""Point"", ""coordinates"": [-1.81831497831089, 48.494442826275716]}";LE TRONCHET
A2I0P6;37;48.6813738809, -1.84785717169;35049;RUE DE PORT BRIAC;"{""type"": ""Point"", ""coordinates"": [-1.847857171691154, 48.681373880940974]}";CANCALE
A2I1D9;2;48.6630805162, -1.86867337353;35049;RUE DES GUERETS;"{""type"": ""Point"", ""coordinates"": [-1.868673373529002, 48.663080516215445]}";CANCALE
A2I0Q8;27;48.6801515242, -1.86171847963;35049;BOULEVARD D ARMOR;"{""type"": ""Point"", ""coordinates"": [-1.861718479627104, 48.680151524164316]}";CANCALE
A2I0P9;34;48.7003958547, -1.8566993186;35049;RUE DES TINTIAUX;"{""type"": ""Point"", ""coordinates"": [-1.856699318604234, 48.70039585470539]}";CANCALE
A0Q3B7;0;48.5639877629, -1.86316925948;35153;LE BOURG;"{""type"": ""Point"", ""coordinates"": [-1.863169259481096, 48.56398776290866]}";LILLEMER
A2F5B1;17;48.5051595425, -1.88450935408;35179;RUE DU ROCHER;"{""type"": ""Point"", ""coordinates"": [-1.8845093540841, 48.50515954252364]}";MINIAC-MORVAN
A0Q2S6;4;48.5992177633, -1.97319370826;35284;GRANDE RUE;"{""type"": ""Point"", ""coordinates"": [-1.973193708255319, 48.599217763337016]}";SAINT-JOUAN-DES-GUÉRETS
A0Q5G6;47;48.667482531, -1.98490420228;35288;AVENUE DU PRESIDENT JOHN KENNEDY;"{""type"": ""Point"", ""coordinates"": [-1.984904202276354, 48.66748253102848]}";SAINT-MALO
A0Q5I3;65;48.6428882533, -2.00842364914;35288;BOULEVARD DES TALARDS;"{""type"": ""Point"", ""coordinates"": [-2.00842364914317, 48.64288825329359]}";SAINT-MALO
A0Q5J0;12;48.6474356321, -1.99510117316;35288;AVENUE DES COTTAGES;"{""type"": ""Point"", ""coordinates"": [-1.99510117316017, 48.64743563208557]}";SAINT-MALO
A0Q5L4;4;48.6479665253, -2.02585585343;35288;PLACE DU MARCHE AUX LEGUMES;"{""type"": ""Point"", ""coordinates"": [-2.025855853432408, 48.647966525253075]}";SAINT-MALO
A0Q5M5;9;48.6358097355, -1.98703470144;35288;RUE DES FOUGERES;"{""type"": ""Point"", ""coordinates"": [-1.987034701436308, 48.63580973545566]}";SAINT-MALO
A0Q5M8;28;48.6380643128, -2.01440879708;35288;RUE LE POMELLEC;"{""type"": ""Point"", ""coordinates"": [-2.014408797081225, 48.638064312813036]}";SAINT-MALO
A0Q5H3;40;48.6484811752, -2.00852624186;35288;BOULEVARD DE LA REPUBLIQUE;"{""type"": ""Point"", ""coordinates"": [-2.008526241859617, 48.64848117518258]}";SAINT-MALO
A0Q5H6;0;48.6531145417, -2.00301262641;35288;AVENUE DU 47E REGIMENT D INFANTERIE;"{""type"": ""Point"", ""coordinates"": [-2.003012626410423, 48.65311454171199]}";SAINT-MALO
A0Q5J1;0;48.6197604007, -1.99450664798;35288;RUE DE LA VILLE JOUAN;"{""type"": ""Point"", ""coordinates"": [-1.99450664797579, 48.619760400674316]}";SAINT-MALO
A0Q5L2;11;48.6363877281, -2.00338028235;35288;PLACE DE LAMBETY;"{""type"": ""Point"", ""coordinates"": [-2.003380282353739, 48.636387728136185]}";SAINT-MALO
A0Q5M6;0;48.6572721997, -1.98456091527;35288;RUE ANGE FONTAN;"{""type"": ""Point"", ""coordinates"": [-1.984560915267977, 48.6572721997058]}";SAINT-MALO
A0Q5N1;20;48.6454964973, -1.98459074007;35288;RUE DE LA MONTAGNE SAINT JOSEPH;"{""type"": ""Point"", ""coordinates"": [-1.984590740074543, 48.64549649729063]}";SAINT-MALO
A0Q6F6;2;48.647210453, -2.02665310638;35288;RUE DE DINAN;"{""type"": ""Point"", ""coordinates"": [-2.026653106378841, 48.64721045301058]}";SAINT-MALO
A0Q5J4;1;48.6629622924, -1.9885667457;35288;AVENUE DU PRESIDENT JOHN KENNEDY;"{""type"": ""Point"", ""coordinates"": [-1.988566745703549, 48.66296229244564]}";SAINT-MALO
A0Q5L0;0;48.6350229681, -2.00853440657;35288;PLACE BOISOUZE;"{""type"": ""Point"", ""coordinates"": [-2.008534406566007, 48.63502296814108]}";SAINT-MALO
A0Q5M2;54;48.6328820997, -2.00779989294;35288;RUE DE LA PIE;"{""type"": ""Point"", ""coordinates"": [-2.007799892941422, 48.63288209965831]}";SAINT-MALO
A2H9I5;0;48.642897737, -1.95511294551;35288;LA HUPERIE;"{""type"": ""Point"", ""coordinates"": [-1.955112945508528, 48.642897736964834]}";SAINT-MALO
A0Q5I0;41;48.6555480293, -1.99359042067;35288;BOULEVARD GAMBETTA;"{""type"": ""Point"", ""coordinates"": [-1.993590420674267, 48.655548029277995]}";SAINT-MALO
A0Q2S1;15;48.5466401537, -1.95500157647;35358;RUE DE LA RANCE;"{""type"": ""Point"", ""coordinates"": [-1.955001576467868, 48.546640153685274]}";LA VILLE-ÈS-NONAIS
A2I1E2;0;48.6948630345, -1.84945343303;35049;RUE DE PORT PICAIN;"{""type"": ""Point"", ""coordinates"": [-1.849453433034207, 48.69486303450135]}";CANCALE
A2I0Q9;70;48.6836765178, -1.85922336128;35049;BOULEVARD D ARMOR;"{""type"": ""Point"", ""coordinates"": [-1.859223361280958, 48.683676517794424]}";CANCALE
A2I1E3;0;48.6792005744, -1.84452621579;35049;ALLEE DE LA CONGRIERE;"{""type"": ""Point"", ""coordinates"": [-1.84452621579068, 48.679200574383515]}";CANCALE
A0Q3F2;26;48.6134016202, -1.84068793502;35132;PLACE DE L EGLISE;"{""type"": ""Point"", ""coordinates"": [-1.840687935016228, 48.61340162023617]}";HIREL
A0Q3Z4;0;48.5554226311, -1.88532682295;35179;LE FRECHE;"{""type"": ""Point"", ""coordinates"": [-1.885326822954499, 48.55542263113365]}";MINIAC-MORVAN
A0Q3Z1;16;48.5163518302, -1.90156355274;35179;RUE DE LA POSTE;"{""type"": ""Point"", ""coordinates"": [-1.901563552738047, 48.51635183020477]}";MINIAC-MORVAN
A0Q3Z9;0;48.5137671776, -1.86199128121;35179;LA BARRE;"{""type"": ""Point"", ""coordinates"": [-1.861991281205689, 48.51376717760367]}";MINIAC-MORVAN
A0Q3Z5;0;48.5306143583, -1.91550374483;35179;LA COSTARDAIS;"{""type"": ""Point"", ""coordinates"": [-1.91550374482983, 48.5306143582737]}";MINIAC-MORVAN
A5J9E1;0;48.6014895031, -1.94552226302;35284;LA CHAPELLE DE LA LANDE;"{""type"": ""Point"", ""coordinates"": [-1.945522263019463, 48.60148950310728]}";SAINT-JOUAN-DES-GUÉRETS
A0Q5G7;1;48.658620558, -1.98995882051;35288;AVENUE DE BROCELIANDE;"{""type"": ""Point"", ""coordinates"": [-1.989958820505685, 48.658620558026485]}";SAINT-MALO
A0Q5G8;1;48.6383134649, -2.00823859321;35288;RUE DE LA MARNE;"{""type"": ""Point"", ""coordinates"": [-2.008238593206611, 48.63831346489377]}";SAINT-MALO
A0Q5H0;2;48.6763336258, -1.97949139532;35288;BOULEVARD DE ROTHENEUF;"{""type"": ""Point"", ""coordinates"": [-1.979491395321802, 48.67633362579223]}";SAINT-MALO
A0Q5I7;0;48.6244645256, -1.99385972371;35288;AVENUE DE LA FLAUDAIE;"{""type"": ""Point"", ""coordinates"": [-1.993859723712482, 48.62446452559205]}";SAINT-MALO
A0Q5K2;1;48.6521762669, -2.00978409913;35288;BOULEVARD DE LA REPUBLIQUE;"{""type"": ""Point"", ""coordinates"": [-2.009784099130352, 48.652176266920534]}";SAINT-MALO
A0Q5K6;4;48.6492134138, -2.02749422205;35288;PLACE DES FRERES LAMENNAIS;"{""type"": ""Point"", ""coordinates"": [-2.027494222045819, 48.64921341379311]}";SAINT-MALO
A0Q5K9;2;48.6529248874, -2.01322797349;35288;PLACE DE LA FONTAINE;"{""type"": ""Point"", ""coordinates"": [-2.013227973490025, 48.652924887389176]}";SAINT-MALO
A0Q5J6;36;48.6360318125, -2.01467941753;35288;RUE VILLE PEPIN;"{""type"": ""Point"", ""coordinates"": [-2.014679417525684, 48.63603181251328]}";SAINT-MALO
A0Q5H4;0;48.6644647528, -1.98102154377;35288;ALLEE DE LA GOELETTE;"{""type"": ""Point"", ""coordinates"": [-1.981021543770632, 48.664464752841546]}";SAINT-MALO
A0Q6F4;7;48.6565624202, -1.97886367175;35288;BOULEVARD DES DEPORTES;"{""type"": ""Point"", ""coordinates"": [-1.978863671745919, 48.65656242015471]}";SAINT-MALO
A0Q5I4;0;48.6302246473, -2.00672579152;35288;RUE DE LA MARNE;"{""type"": ""Point"", ""coordinates"": [-2.00672579152337, 48.6302246472506]}";SAINT-MALO
A0Q5L5;3;48.6298723803, -2.01095231193;35288;PLACE DU PONCEL;"{""type"": ""Point"", ""coordinates"": [-2.010952311929981, 48.629872380301]}";SAINT-MALO
A0Q5T7;0;48.635132342, -1.89917280773;35299;LE PORTAIL;"{""type"": ""Point"", ""coordinates"": [-1.899172807726468, 48.63513234201263]}";SAINT-MÉLOIR-DES-ONDES
A0Q4A2;0;48.5026473771, -1.86753619079;35362;VILLEGATE;"{""type"": ""Point"", ""coordinates"": [-1.867536190790522, 48.50264737709537]}";LE TRONCHET
A0Q2M3;1;48.6778930211, -1.84750194551;35049;RUE DES RIMAINS;"{""type"": ""Point"", ""coordinates"": [-1.847501945512938, 48.677893021142815]}";CANCALE
